Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
TETRALGIN NOVO CPR X 20;7798129416262;13190,66;0;13190,66
TETRALGIN NOVO CPR X 40;7798129416279;25125,51;0;25125,51
TETRALYSAL 150 MG CAP X 32;3499320001205;68626,16;0;68626,16
TETRALYSAL 300 MG CAP X 28;3499320011501;77493,09;0;77493,09
TETRAXIM JER PRELL X 0,5 ML;7798015780934;412281;0;412281
TETRAZIC 30 MG CPR X 30;7795349169473;67945;0;67945
TIADYL 16 MG CPR X 30;7790440450727;195401,81;0;195401,81
TIADYL 8 MG CPR X 30;7790440450628;116949,06;0;116949,06
TIAMINA 300 MG CPR X 30;7798011653409;19180;0;19180
TIARIX 10 MG CPR X 30;7791909197900;28508,55;0;28508,55
TIARIX 20 MG CPR X 60;7791909198167;114883,03;0;114883,03
TIARIX CPR X 30;7791909198150;65504,03;0;65504,03
TIARIX CR 12,5 MG CPR X 30;7791909198341;47222,7;0;47222,7
TIARIX CR 25 MG CPR X 30;7791909198402;52663,86;0;52663,86
TICAZAN 90 MG CPR X 30;7796285283452;100856,31;0;100856,31
TICAZAN 90 MG CPR X 60;7796285283445;220270,01;0;220270,01
TIKL ANTICASPA SHA X 240 ML;7795334000361;26130;0;26130
TIKL ANTICASPA SHA X 60 ML;7795334502933;12440;0;12440
TILIOS 70 MG CPR X 4;7791829009383;22688,45;0;22688,45
TIMALERG 0,2% SOL OFT X 2,5 ML;7798137190369;36300;0;36300
TIMED D SOL OFT X 5 ML;7798069050489;50795,1;0;50795,1
TIMOBRIM SOL OFT X 5 ML;7793569006981;38143,93;0;38143,93
TIMODER HYDROGEL SOL ESTERIL X 10 ML;7795333007620;30500;0;30500
TIMOLOL DF 0,50% SOL OFT X 5 ML;7798050060602;14757,53;0;14757,53
TIMOLOL DORF 0,5% SOL OFT X 5 ML;7798103390069;13349,7;0;13349,7
TIMOPLOS LC SOL OFT X 7,5 ML;7795373013704;30650;0;30650
TINACTOL 600 MG CPR X 30;7791909197511;48545,23;0;48545,23
TINAIR 1,5 MG CPR X 100;7796285299941;93360,6;0;93360,6
TIO NACHO ACOND ACLARANTE V2 X 200ML;7798140256670;5231,36;1;8736,3712
TIO NACHO ACOND ACLARANTE V2 X 415ML;7798140256656;7747,86;1;12938,9262
TIO NACHO ACOND ALOE VERA V2 X 200ML;7798140256717;3802,76;1;6350,6092
TIO NACHO ACOND ALOE VERA V2 X 415ML;7798140256694;5900,77;1;9854,2859
TIO NACHO ACOND CRECIMIENTO SALUDABLE V2 X 415ML;7798140256465;5900,77;1;9854,2859
