Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D;BODY CARE CALZA DEPORT P/HOMBRE(1849)TL;;;7798082443503;BODY CARE (MULTIPRENE S.A;17908,76;1;0;0;0;1000001752
D;BODY CARE CALZA DEPORT P/HOMBRE(1849)TL BL;;;7798082448065;BODY CARE (MULTIPRENE S.A;17908,76;1;0;0;0;1000001753
D;BODY CARE CALZA DEPORT P/HOMBRE(1849)TM;;;7798082443497;BODY CARE (MULTIPRENE S.A;17908,76;1;0;0;0;1000001754
D;BODY CARE CALZA DEPORT P/HOMBRE(1849)TS;;;7798082443480;BODY CARE (MULTIPRENE S.A;17908,76;1;0;0;0;1000001755
D;BODY CARE CALZA DEPORT P/HOMBRE(1849)TXL;;;7798082443510;BODY CARE (MULTIPRENE S.A;17908,76;1;0;0;0;1000001756
D;BODY CARE CALZA REDUCTORA(1851)T2;;;7798082442216;BODY CARE (MULTIPRENE S.A;40130,94;1;0;0;0;1000001757
D;BODY CARE CALZA REDUCTORA(1851)T3;;;7798082442223;BODY CARE (MULTIPRENE S.A;40130,94;1;0;0;0;1000001758
D;BODY CARE CALZA REDUCTORA(1851)T4;;;7798082442230;BODY CARE (MULTIPRENE S.A;40130,94;1;0;0;0;1000001759
D;BODY CARE CALZA REDUCTORA(1851)T5;;;7798082442247;BODY CARE (MULTIPRENE S.A;40130,94;1;0;0;0;1000001760
D;BODY CARE CALZA TERMIC PRO MUJER(1870)TL;;;7798356550326;BODY CARE (MULTIPRENE S.A;34511,48;1;0;0;0;1000001761
D;BODY CARE CALZA TERMICA LARGA HOMB(1860)TL;;;7798082446887;BODY CARE (MULTIPRENE S.A;29707,50;1;0;0;0;1000001762
D;BODY CARE CALZA TERMICA LARGA HOMB(1860)TM;;;7798082446870;BODY CARE (MULTIPRENE S.A;29707,50;1;0;0;0;1000001763
D;BODY CARE CALZA TERMICA LARGA HOMB(1860)TS;;;7798082446863;BODY CARE (MULTIPRENE S.A;29707,50;1;0;0;0;1000001764
D;BODY CARE CALZA TERMICA LARGA HOMB(1860)TXL;;;7798082446894;BODY CARE (MULTIPRENE S.A;29707,50;1;0;0;0;1000001765
D;BODY CARE CALZA TERMICA LARGA MUJE(1865)TL;;;7798082446849;BODY CARE (MULTIPRENE S.A;34511,48;1;0;0;0;1000001766
D;BODY CARE CALZA TERMICA LARGA MUJE(1865)TXL;;;7798082446856;BODY CARE (MULTIPRENE S.A;34511,48;1;0;0;0;1000001769
